@target G0.S0
@type xydy
-2.0 -373.26130 2.18571
-1.9 -376.40523 2.27835
-1.8 -378.23788 2.16155
-1.7 -381.62435 2.15224
-1.6 -367.33855 2.24934
-1.5 -365.75425 2.07708
-1.4 -382.71288 2.20067
-1.3 -384.64945 2.33543
-1.2 -387.92682 2.27796
-1.1 -386.71439 2.10893
-1.0 -402.90165 2.11605
-0.9 -400.04780 2.25314
-0.8 -396.31286 2.15055
-0.7 -409.43285 2.07742
-0.6 -411.78138 2.17846
-0.5 -415.35313 2.17860
-0.4 -409.95895 1.92570
-0.3 -417.08037 2.10947
-0.2 -414.98407 2.54912
-0.1 -413.94171 1.99483
0.0 -418.07896 2.25055
0.1 -415.44941 2.28606
0.2 -410.44352 1.88671
0.3 -428.29720 2.70140
0.4 -421.08923 2.17703
0.5 -433.15124 2.04984
0.6 -414.64850 2.14798
0.7 -405.75952 2.41935
0.8 -382.64184 2.05021
0.9 -377.07830 2.38055
1.0 -387.02929 1.85334
1.1 -370.27581 1.90752
1.2 -361.67486 2.02755
1.3 -361.50753 2.29853
1.4 -367.37138 2.26106
1.5 -342.77904 2.05385
1.6 -354.12969 2.24836
1.7 -328.42977 2.41219
1.8 -370.04730 1.96181
1.9 -376.46494 2.08223
2.0 -375.04675 2.14692
&
@target G1.S0
@type xydy
-2.0 -385.65456 2.39181
-1.9 -383.21884 2.30655
-1.8 -382.36420 2.20463
-1.7 -379.65258 2.16504
-1.6 -375.69904 2.10224
-1.5 -384.18047 1.92316
-1.4 -394.82761 2.02823
-1.3 -407.44951 2.10786
-1.2 -398.93775 2.13396
-1.1 -414.74303 2.11378
-1.0 -390.80480 1.98190
-0.9 -408.77631 2.08839
-0.8 -403.05024 2.28199
-0.7 -409.90020 2.26684
-0.6 -413.88424 2.30572
-0.5 -413.22338 1.87294
-0.4 -424.09788 2.09592
-0.3 -427.33492 2.19658
-0.2 -410.95510 2.26076
-0.1 -407.76412 2.17426
0.0 -414.62429 2.13901
0.1 -417.08798 1.96338
0.2 -411.21919 2.30873
0.3 -411.11196 2.19010
0.4 -410.31404 2.26159
0.5 -406.72831 2.17024
0.6 -397.87875 2.37229
0.7 -391.42773 2.07473
0.8 -400.54912 1.89261
0.9 -396.59282 2.21267
1.0 -375.10173 2.20402
1.1 -378.28192 2.18040
1.2 -383.00705 2.34429
1.3 -395.76477 2.04092
1.4 -377.74114 2.36858
1.5 -375.08927 2.14305
1.6 -353.27130 2.15664
1.7 -369.32192 2.09203
1.8 -379.51085 2.09502
1.9 -363.14212 2.08631
2.0 -364.71698 2.15722
&
@target G2.S0
@type xydy
-2.0 -345.54131 1.92232
-1.9 -350.36744 2.00884
-1.8 -351.20484 2.10519
-1.7 -362.67823 2.28235
-1.6 -373.05358 2.20768
-1.5 -382.29154 2.16094
-1.4 -389.20892 1.93655
-1.3 -372.29117 2.17791
-1.2 -377.97909 2.08099
-1.1 -370.72367 2.03371
-1.0 -380.96030 1.98114
-0.9 -378.85313 1.86321
-0.8 -385.67771 2.26292
-0.7 -380.44028 2.07032
-0.6 -387.37390 2.20981
-0.5 -388.59316 2.09748
-0.4 -399.66737 1.99674
-0.3 -408.32152 2.15708
-0.2 -406.89802 2.36820
-0.1 -409.38361 2.19630
0.0 -408.60093 2.17772
0.1 -418.63645 2.31023
0.2 -416.59569 2.12249
0.3 -419.56974 2.23583
0.4 -426.30063 2.30934
0.5 -414.69741 2.01615
0.6 -411.31447 2.08331
0.7 -412.98878 2.05435
0.8 -417.41314 2.14147
0.9 -413.12244 2.24293
1.0 -416.56586 2.71135
1.1 -412.29584 1.94766
1.2 -413.62062 2.15304
1.3 -400.95020 2.10090
1.4 -405.67654 2.21864
1.5 -398.86820 2.21924
1.6 -385.89065 1.96058
1.7 -386.52932 2.04328
1.8 -382.81174 1.93236
1.9 -394.40824 2.35873
2.0 -386.88770 2.15882
&
@target G3.S0
@type xydy
-2.0 -368.58324 2.10710
-1.9 -361.69843 1.98403
-1.8 -370.96232 2.22794
-1.7 -374.81821 2.16329
-1.6 -360.82867 2.18710
-1.5 -382.73463 2.31699
-1.4 -381.46851 2.22584
-1.3 -378.31321 2.03901
-1.2 -382.54273 2.14861
-1.1 -377.95146 2.05973
-1.0 -383.46310 2.33460
-0.9 -391.44384 1.99025
-0.8 -400.53493 2.10511
-0.7 -403.73037 1.79996
-0.6 -401.07995 2.16858
-0.5 -408.91943 2.17409
-0.4 -404.20024 1.93399
-0.3 -424.46811 2.07695
-0.2 -413.57041 2.22981
-0.1 -416.28196 2.29790
0.0 -426.27989 2.20138
0.1 -422.61764 2.12916
0.2 -429.54850 1.78470
0.3 -421.90884 2.02815
0.4 -422.31383 2.54305
0.5 -412.71866 1.95526
0.6 -405.70277 2.12655
0.7 -404.24941 2.04802
0.8 -402.60097 2.01728
0.9 -392.93512 2.03915
1.0 -386.87999 2.42479
1.1 -379.49106 2.20001
1.2 -387.84981 2.13282
1.3 -390.77684 2.05682
1.4 -380.36427 2.02824
1.5 -387.05063 2.07914
1.6 -380.47421 2.07440
1.7 -362.71397 1.95021
1.8 -379.04954 2.25061
1.9 -367.10563 2.11777
2.0 -365.91485 2.13672
&
@target G4.S0
@type xydy
-2.0 -362.88609 2.39236
-1.9 -351.56097 2.23966
-1.8 -348.96187 1.97049
-1.7 -339.13044 2.19199
-1.6 -366.04290 2.11090
-1.5 -355.24714 2.05289
-1.4 -360.12681 2.28179
-1.3 -376.79368 2.41393
-1.2 -392.79292 2.02614
-1.1 -398.83528 1.92674
-1.0 -387.83460 2.07018
-0.9 -400.05429 2.48250
-0.8 -398.76366 2.26867
-0.7 -402.19160 1.87868
-0.6 -400.78700 1.87577
-0.5 -406.19090 2.18993
-0.4 -410.24266 2.12779
-0.3 -410.70408 2.32416
-0.2 -416.43274 2.04595
-0.1 -419.87159 2.07885
0.0 -415.49546 2.17809
0.1 -403.92730 2.26702
0.2 -408.88186 2.09091
0.3 -405.13998 2.00398
0.4 -404.66533 1.97364
0.5 -407.17068 2.16223
0.6 -392.03076 2.05594
0.7 -382.05617 1.79980
0.8 -399.13082 2.16522
0.9 -377.13128 2.21155
1.0 -380.38115 1.93365
1.1 -376.08211 2.10001
1.2 -360.04237 1.74393
1.3 -361.53336 1.95325
1.4 -337.50341 2.01727
1.5 -357.07124 1.87376
1.6 -349.97861 2.25774
1.7 -343.74597 2.39227
1.8 -325.01634 2.07749
1.9 -347.35644 2.27892
2.0 -363.40201 2.25934
&
@target G5.S0
@type xydy
-2.0 -382.22097 2.17017
-1.9 -371.01194 2.29239
-1.8 -398.27527 2.16589
-1.7 -374.34558 2.31727
-1.6 -389.17603 2.09833
-1.5 -405.24287 2.07904
-1.4 -402.97934 2.26823
-1.3 -419.55554 2.21509
-1.2 -409.25184 2.11501
-1.1 -417.81225 2.16449
-1.0 -412.12623 2.20010
-0.9 -417.68161 2.10771
-0.8 -414.93217 1.92200
-0.7 -417.62778 2.52724
-0.6 -417.79928 2.27178
-0.5 -421.18326 2.02705
-0.4 -427.22497 2.18499
-0.3 -413.56238 1.98546
-0.2 -430.77772 2.22930
-0.1 -425.65298 2.11215
0.0 -416.32562 2.28372
0.1 -411.06193 2.31018
0.2 -395.67029 2.35041
0.3 -401.15385 2.24396
0.4 -401.86099 2.30555
0.5 -388.45146 2.10515
0.6 -383.41833 2.34173
0.7 -395.60334 2.37528
0.8 -397.78442 2.23714
0.9 -395.48259 2.27659
1.0 -382.95745 2.15839
1.1 -389.08799 1.99623
1.2 -388.34927 2.20600
1.3 -392.63051 2.23790
1.4 -371.79216 2.25144
1.5 -375.84893 1.99357
1.6 -372.34945 2.03654
1.7 -381.81238 2.18967
1.8 -355.96469 2.03329
1.9 -362.11172 2.11682
2.0 -362.22636 2.35413
&
@target G0.S1
@type xydy
-2.0 -358.43759 2.38810
-1.9 -355.92322 2.08582
-1.8 -371.62612 2.07884
-1.7 -382.09452 2.26293
-1.6 -384.05050 2.12994
-1.5 -376.57553 2.13957
-1.4 -414.05915 2.21976
-1.3 -396.68898 2.12517
-1.2 -387.31392 2.03410
-1.1 -392.21774 2.29376
-1.0 -393.26897 2.32154
-0.9 -406.85523 2.33474
-0.8 -409.72857 2.18840
-0.7 -408.75311 2.12692
-0.6 -412.98402 2.08486
-0.5 -413.92691 2.13739
-0.4 -421.79491 2.14114
-0.3 -421.22307 2.01658
-0.2 -417.81268 2.20755
-0.1 -422.26984 1.98112
0.0 -420.26363 2.03939
0.1 -410.90485 2.08323
0.2 -426.22934 2.22884
0.3 -415.32317 2.58993
0.4 -420.58772 2.10623
0.5 -424.16215 2.16955
0.6 -412.60851 2.00961
0.7 -400.82545 2.17466
0.8 -393.51274 2.00559
0.9 -379.60859 1.93991
1.0 -343.19212 2.45063
1.1 -372.26900 2.07441
1.2 -369.63025 2.12759
1.3 -398.49975 2.01922
1.4 -355.95530 2.11246
1.5 -349.22959 2.25286
1.6 -358.98241 2.25181
1.7 -332.36870 2.12745
1.8 -340.40013 2.02015
1.9 -392.48297 2.16258
2.0 -376.20555 2.27953
&
@target G1.S1
@type xydy
-2.0 -391.82054 2.08278
-1.9 -392.29431 2.24516
-1.8 -390.92125 2.11395
-1.7 -399.86412 2.08134
-1.6 -391.04241 2.26541
-1.5 -396.36693 2.07184
-1.4 -390.57838 2.18077
-1.3 -407.45938 2.04286
-1.2 -405.35123 2.15207
-1.1 -403.24762 2.22100
-1.0 -390.31676 2.03489
-0.9 -413.45731 2.15696
-0.8 -426.15995 2.29256
-0.7 -410.61903 2.11084
-0.6 -409.98864 2.25414
-0.5 -420.89273 2.24428
-0.4 -425.96499 2.13241
-0.3 -419.31092 2.06222
-0.2 -414.39689 2.12132
-0.1 -419.26534 2.00091
0.0 -420.12028 2.28769
0.1 -411.73832 1.99428
0.2 -403.37008 2.03775
0.3 -399.43748 2.18051
0.4 -397.34151 2.03306
0.5 -398.60753 2.52060
0.6 -397.31618 1.94153
0.7 -376.80877 1.97774
0.8 -382.38650 2.18628
0.9 -384.94120 2.22235
1.0 -378.43981 2.31876
1.1 -366.61810 1.93842
1.2 -357.02055 1.97504
1.3 -375.45500 2.19427
1.4 -385.33577 2.16144
1.5 -405.00761 2.17934
