@target G0.S0
@type xy
-2.0 -503.19720
-1.9 -506.96949
-1.8 -507.91335
-1.7 -512.08050
-1.6 -497.50799
-1.5 -496.05208
-1.4 -512.78688
-1.3 -514.92135
-1.2 -518.11466
-1.1 -517.29570
-1.0 -533.56293
-0.9 -530.86770
-0.8 -527.21161
-0.7 -539.98932
-0.6 -542.20947
-0.5 -545.41559
-0.4 -540.33790
-0.3 -547.26798
-0.2 -545.36899
-0.1 -544.93500
0.0 -548.87494
0.1 -545.94174
0.2 -540.66144
0.3 -558.52019
0.4 -551.57773
0.5 -563.33932
0.6 -544.93771
0.7 -536.01799
0.8 -513.60096
0.9 -507.37348
1.0 -517.32412
1.1 -500.26280
1.2 -492.27644
1.3 -492.08861
1.4 -497.76200
1.5 -473.05572
1.6 -484.53748
1.7 -459.34978
1.8 -500.18972
1.9 -506.43046
2.0 -505.19352
&
@target G1.S0
@type xy
-2.0 -516.39599
-1.9 -513.80925
-1.8 -512.81818
-1.7 -510.01991
-1.6 -506.68359
-1.5 -513.88338
-1.4 -525.67435
-1.3 -537.70952
-1.2 -528.94035
-1.1 -545.27532
-1.0 -521.27473
-0.9 -538.90841
-0.8 -532.80360
-0.7 -540.94537
-0.6 -544.02787
-0.5 -544.00399
-0.4 -554.14957
-0.3 -557.76394
-0.2 -541.45442
-0.1 -538.49943
0.0 -545.49109
0.1 -547.69083
0.2 -541.45568
0.3 -541.84008
0.4 -540.74699
0.5 -537.65183
0.6 -528.45952
0.7 -522.20399
0.8 -531.02630
0.9 -527.47921
1.0 -505.41747
1.1 -508.67145
1.2 -513.46161
1.3 -526.44880
1.4 -507.74192
1.5 -505.61218
1.6 -483.48890
1.7 -499.29258
1.8 -509.98899
1.9 -493.20760
2.0 -495.14618
&
@target G2.S0
@type xy
-2.0 -475.59974
-1.9 -481.47630
-1.8 -481.41015
-1.7 -493.46127
-1.6 -503.33756
-1.5 -513.11118
-1.4 -519.97960
-1.3 -502.53788
