@target G0.S0
@type xydy
-2.0 0.14479 0.09563
-1.9 0.11171 0.08277
-1.8 0.18018 0.09499
-1.7 0.17767 0.13429
-1.6 0.16253 0.11066
-1.5 0.09211 0.05516
-1.4 0.11836 0.10797
-1.3 0.10737 0.09867
-1.2 0.18762 0.12518
-1.1 0.24520 0.22674
-1.0 0.15283 0.15523
-0.9 0.08031 0.08037
-0.8 0.06747 0.06615
-0.7 0.08570 0.07590
-0.6 0.09026 0.08559
-0.5 0.02679 0.01866
-0.4 0.05296 0.03518
-0.3 0.04858 0.02734
-0.2 0.11384 0.08348
-0.1 0.06433 0.04370
0.0 0.06071 0.05070
0.1 0.07002 0.06378
0.2 0.06331 0.10212
0.3 0.10492 0.10237
0.4 0.11177 0.12530
0.5 0.15454 0.13863
0.6 0.11626 0.08279
0.7 0.12890 0.11187
0.8 0.10389 0.06807
0.9 0.07551 0.07063
1.0 0.33198 0.22986
1.1 0.11688 0.09321
1.2 0.25793 0.23670
1.3 0.18331 0.13970
1.4 0.28986 0.22299
1.5 0.21144 0.14605
1.6 0.27760 0.28686
1.7 0.26714 0.19940
1.8 0.12942 0.08469
1.9 0.10474 0.07555
2.0 0.14558 0.09773
&
@target G1.S0
@type xydy
-2.0 0.14481 0.09131
-1.9 0.15392 0.16351
-1.8 0.12108 0.08730
-1.7 0.10925 0.09642
-1.6 0.07226 0.05326
-1.5 0.15963 0.12967
-1.4 0.07051 0.04718
-1.3 0.15259 0.09630
-1.2 0.06688 0.05095
-1.1 0.08182 0.08004
-1.0 0.14669 0.12430
-0.9 0.08731 0.10661
-0.8 0.05238 0.03949
-0.7 0.03127 0.02597
-0.6 0.05233 0.04705
-0.5 0.16732 0.14507
-0.4 0.10932 0.11601
-0.3 0.09510 0.08200
-0.2 0.04030 0.04105
-0.1 0.03805 0.02742
0.0 0.11841 0.10851
0.1 0.06441 0.04934
0.2 0.04760 0.04403
0.3 0.03778 0.02492
0.4 0.04461 0.03581
0.5 0.05621 0.04146
0.6 0.05541 0.04181
0.7 0.07001 0.06684
0.8 0.08257 0.07590
0.9 0.14113 0.15357
1.0 0.09785 0.07765
1.1 0.09810 0.10166
1.2 0.12774 0.09886
1.3 0.11610 0.08656
1.4 0.08242 0.05580
1.5 0.06336 0.05119
1.6 0.06548 0.05684
1.7 0.13678 0.08786
1.8 0.11133 0.08002
1.9 0.18254 0.14750
2.0 0.14097 0.09151
&
@target G2.S0
@type xydy
-2.0 0.08707 0.10188
-1.9 0.16805 0.13646
-1.8 0.21939 0.17378
-1.7 0.14744 0.08600
-1.6 0.11185 0.08897
-1.5 0.24327 0.20864
