@target G0.S0
@type xy
-2.0 0.00773
-1.9 0.01944
-1.8 0.06089
-1.7 0.10263
-1.6 0.03218
-1.5 0.02942
-1.4 0.05308
-1.3 0.03278
-1.2 0.09957
-1.1 0.09616
-1.0 0.09671
-0.9 0.03056
-0.8 0.01694
-0.7 0.01601
-0.6 0.02932
-0.5 0.00505
-0.4 0.00234
-0.3 0.00049
-0.2 0.00029
-0.1 0.00030
0.0 0.00586
0.1 0.00359
0.2 0.00497
0.3 0.00647
0.4 0.00549
0.5 0.07874
0.6 0.08411
0.7 0.06189
0.8 0.02672
0.9 0.02929
1.0 0.23872
1.1 0.07017
1.2 0.10160
1.3 0.09885
1.4 0.16945
1.5 0.07435
1.6 0.13131
1.7 0.08098
1.8 0.08384
1.9 0.01799
2.0 0.04357
&
@target G1.S0
@type xy
-2.0 0.04446
-1.9 0.04426
-1.8 0.05911
-1.7 0.03955
-1.6 0.03249
-1.5 0.05974
-1.4 0.02776
-1.3 0.04196
-1.2 0.02761
-1.1 0.04275
-1.0 0.04542
-0.9 0.01907
-0.8 0.02120
-0.7 0.01543
-0.6 0.00738
-0.5 0.01036
-0.4 0.00216
-0.3 0.00080
-0.2 0.00068
-0.1 0.00012
0.0 0.00435
0.1 0.01047
0.2 0.00536
0.3 0.00412
0.4 0.00232
0.5 0.00146
0.6 0.00685
0.7 0.01537
0.8 0.01728
0.9 0.04500
1.0 0.05000
1.1 0.00915
1.2 0.02252
1.3 0.03497
1.4 0.04128
1.5 0.02328
1.6 0.05575
1.7 0.02830
1.8 0.01997
1.9 0.05004
2.0 0.02797
&
@target G2.S0
@type xy
-2.0 0.00606
-1.9 0.05312
-1.8 0.06101
-1.7 0.03027
-1.6 0.05336
-1.5 0.05827
-1.4 0.00790
-1.3 0.02955
-1.2 0.06843
-1.1 0.06445
-1.0 0.07603
-0.9 0.06591
-0.8 0.03813
-0.7 0.05707
-0.6 0.03758
-0.5 0.02125
-0.4 0.04780
-0.3 0.04155
-0.2 0.00638
-0.1 0.01112
0.0 0.01506
0.1 0.02710
0.2 0.00648
0.3 0.00073
0.4 0.00062
0.5 0.02084
0.6 0.02565
0.7 0.01069
0.8 0.03407
0.9 0.02974
1.0 0.02264
1.1 0.06562
1.2 0.09043
1.3 0.08213
1.4 0.14581
1.5 0.11692
1.6 0.12540
1.7 0.04615
1.8 0.03457
1.9 0.12229
2.0 0.11525
&
@target G3.S0
@type xy
-2.0 0.04481
-1.9 0.05415
-1.8 0.05407
-1.7 0.03714
-1.6 0.03102
-1.5 0.03820
-1.4 0.10082
-1.3 0.10749
-1.2 0.06076
-1.1 0.04169
-1.0 0.05381
-0.9 0.10516
-0.8 0.01906
-0.7 0.02138
-0.6 0.02540
-0.5 0.01100
-0.4 0.00087
-0.3 0.00021
-0.2 0.00005
-0.1 0.00590
0.0 0.00488
0.1 0.00156
0.2 0.00253
0.3 0.01338
0.4 0.00597
0.5 0.00488
0.6 0.03625
0.7 0.05111
0.8 0.01398
0.9 0.04993
1.0 0.08455
1.1 0.07029
1.2 0.02023
1.3 0.03029
1.4 0.06756
1.5 0.00284
1.6 0.01688
1.7 0.09367
1.8 0.00999
1.9 0.00528
2.0 0.03725
&
@target G4.S0
@type xy
-2.0 0.03841
-1.9 0.11503
-1.8 0.09183
-1.7 0.11257
-1.6 0.08264
-1.5 0.23323
-1.4 0.10215
-1.3 0.12623
-1.2 0.04169
-1.1 0.12413
-1.0 0.05064
-0.9 0.21022
-0.8 0.08056
-0.7 0.09034
-0.6 0.13222
-0.5 0.05972
-0.4 0.01878
-0.3 0.00789
-0.2 0.00852
-0.1 0.03427
0.0 0.00257
0.1 0.00123
0.2 0.05056
0.3 0.03528
0.4 0.09761
0.5 0.10583
0.6 0.02613
0.7 0.01319
0.8 0.10742
0.9 0.12912
1.0 0.26913
1.1 0.15998
1.2 0.21119
1.3 0.10921
1.4 0.17937
1.5 0.10216
1.6 0.25394
1.7 0.26050
1.8 0.16817
1.9 0.10275
2.0 0.13007
&
@target G5.S0
@type xy
-2.0 0.07194
-1.9 0.10853
-1.8 0.05427
-1.7 0.16211
-1.6 0.07728
-1.5 0.14527
-1.4 0.07368
-1.3 0.02449
-1.2 0.06490
-1.1 0.03884
-1.0 0.04034
-0.9 0.01288
-0.8 0.01101
-0.7 0.01025
-0.6 0.01448
-0.5 0.01840
-0.4 0.01976
-0.3 0.00179
-0.2 0.00022
-0.1 0.00148
0.0 0.00045
0.1 0.00735
0.2 0.01090
0.3 0.01983
0.4 0.02062
0.5 0.00328
0.6 0.07082
0.7 0.04048
0.8 0.06878
0.9 0.04687
1.0 0.02560
1.1 0.09239
1.2 0.06945
1.3 0.04765
1.4 0.11193
1.5 0.04388
1.6 0.06266
1.7 0.08958
1.8 0.08724
1.9 0.02808
2.0 0.03687
&
@target G0.S1
@type xy
-2.0 0.02088
-1.9 0.01098
-1.8 0.07858
-1.7 0.02178
-1.6 0.07003
-1.5 0.04530
-1.4 0.10377
-1.3 0.05450
-1.2 0.02444
-1.1 0.11643
-1.0 0.09516
-0.9 0.04197
-0.8 0.00723
-0.7 0.00606
-0.6 0.02466
-0.5 0.00758
-0.4 0.00504
-0.3 0.00012
-0.2 0.00167
-0.1 0.00029
0.0 0.00463
0.1 0.00386
0.2 0.00128
0.3 0.00903
0.4 0.04492
0.5 0.11251
0.6 0.10229
0.7 0.13752
0.8 0.20205
0.9 0.26707
1.0 0.17888
1.1 0.00691
1.2 0.18718
1.3 0.07143
1.4 0.23670
1.5 0.13035
1.6 0.27668
1.7 0.20431
1.8 0.02098
1.9 0.01295
2.0 0.07453
&
@target G1.S1
@type xy
-2.0 0.00027
-1.9 0.00150
-1.8 0.08041
-1.7 0.03196
-1.6 0.04179
-1.5 0.06300
-1.4 0.05564
-1.3 0.04432
-1.2 0.05093
-1.1 0.00892
-1.0 0.02498
-0.9 0.00006
-0.8 0.00704
-0.7 0.01707
-0.6 0.01775
-0.5 0.00482
-0.4 0.00214
-0.3 0.00115
-0.2 0.00183
-0.1 0.00009
0.0 0.00015
0.1 0.00002
0.2 0.00164
0.3 0.00028
0.4 0.00659
0.5 0.00380
0.6 0.00001
0.7 0.00865
0.8 0.01539
0.9 0.01077
1.0 0.01039
1.1 0.02986
1.2 0.10352
1.3 0.04766
1.4 0.03989
1.5 0.00845
1.6 0.02508
1.7 0.04568
1.8 0.02083
1.9 0.05181
2.0 0.02792
&
@target G2.S1
@type xy
-2.0 0.08036
-1.9 0.02251
-1.8 0.01819
-1.7 0.09145
-1.6 0.04105
-1.5 0.03099
-1.4 0.02559
-1.3 0.03208
-1.2 0.05676
-1.1 0.04288
-1.0 0.04093
-0.9 0.07038
-0.8 0.05141
-0.7 0.01813
-0.6 0.04715
-0.5 0.02730
-0.4 0.01365
-0.3 0.02371
-0.2 0.01291
-0.1 0.02841
0.0 0.00714
0.1 0.03033
0.2 0.00003
0.3 0.00014
0.4 0.00044
0.5 0.00002
0.6 0.01800
0.7 0.04948
0.8 0.03674
0.9 0.02317
1.0 0.02950
1.1 0.05399
1.2 0.04586
1.3 0.03577
1.4 0.09583
1.5 0.09872
1.6 0.09538
1.7 0.05040
